ip,total,download.pureapk.com,apkpure.com
177.224.59.213,70842,100.00%,0.00%
37.215.11.94,57895,100.00%,0.00%
90.37.178.67,37602,100.00%,0.00%
189.218.190.94,36368,100.00%,0.00%
103.24.135.10,34992,100.00%,0.00%
177.228.51.139,33552,99.99%,0.00%
201.123.172.135,30121,99.99%,0.00%
176.193.226.44,28728,100.00%,0.00%
178.121.128.152,25367,100.00%,0.00%
81.2.45.243,19526,100.00%,0.00%
37.214.9.11,16993,100.00%,0.00%
189.183.252.151,16805,100.00%,0.00%
37.212.198.69,16584,100.00%,0.00%
187.131.52.226,15338,99.98%,0.00%
37.214.54.85,15175,100.00%,0.00%
83.245.224.149,14624,99.92%,0.00%
77.34.47.22,14587,99.99%,0.00%
189.218.222.7,13783,100.00%,0.00%
85.140.2.48,13723,100.00%,0.00%
189.202.86.223,13504,99.99%,0.00%
189.218.191.75,13213,100.00%,0.00%
189.204.164.154,12820,99.99%,0.00%
189.162.162.238,12644,100.00%,0.00%
177.249.57.30,11649,100.00%,0.00%
197.211.63.158,11590,91.85%,0.17%
189.218.191.93,11091,100.00%,0.00%
176.106.66.190,11046,100.00%,0.00%
31.8.188.75,10753,100.00%,0.00%
80.83.234.177,9860,99.91%,0.06%
201.152.44.182,8772,99.99%,0.00%
31.13.144.53,8493,99.95%,0.01%
189.141.96.110,7675,100.00%,0.00%
93.168.42.234,7497,100.00%,0.00%
223.24.50.98,7291,100.00%,0.00%
171.6.16.39,7176,99.99%,0.00%
189.168.109.85,7037,99.99%,0.00%
85.140.79.18,6919,100.00%,0.00%
180.190.183.62,6826,100.00%,0.00%
95.71.60.131,6792,100.00%,0.00%
201.141.86.204,6776,100.00%,0.00%
188.17.192.120,6731,100.00%,0.00%
213.87.155.109,6662,99.93%,0.00%
189.226.74.227,6556,100.00%,0.00%
197.211.63.155,6440,88.74%,0.28%
197.211.63.152,6318,95.32%,0.17%
180.191.135.37,5967,99.88%,0.00%
197.211.63.156,5953,92.13%,0.29%
176.59.21.12,5925,100.00%,0.00%
197.211.63.154,5920,93.38%,0.66%
180.180.62.72,5913,99.97%,0.00%
